center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
5.407072,4.053045,4.957324,4.049729,5.857633,4.056368
5.411355,4.153008,4.961559,4.149789,5.861911,4.156231
5.415639,4.25297,4.965795,4.24985,5.86619,4.256095
5.419922,4.352932,4.970031,4.349911,5.870469,4.355958
5.424205,4.452894,4.974267,4.449971,5.874748,4.455821
5.428489,4.552857,4.978502,4.550032,5.879026,4.555685
5.432772,4.652819,4.982738,4.650092,5.883305,4.655548
5.437055,4.752781,4.986974,4.750153,5.887584,4.755411
5.441339,4.852743,4.991209,4.850214,5.891863,4.855275
5.445622,4.952705,4.995445,4.950274,5.896142,4.955138
5.449906,5.052667,4.999681,5.050335,5.90042,5.055001
5.454189,5.15263,5.003916,5.150396,5.904699,5.154865
5.456328,5.202548,5.003916,5.150396,5.908978,5.254728
5.458467,5.252467,5.003916,5.150396,5.913257,5.354592
5.460606,5.302385,5.003916,5.150396,5.917535,5.454455
5.462736,5.352099,5.003916,5.150396,5.921797,5.553907
5.465008,5.405111,5.003916,5.150396,5.915233,5.653824
5.467306,5.458746,5.003916,5.150396,5.897695,5.745136
5.469919,5.519715,5.003916,5.150396,5.859683,5.828614
5.472907,5.589455,5.003916,5.150396,5.80641,5.901674
5.415857,5.60432,5.003916,5.150396,5.740463,5.96201
5.359262,5.60688,5.003916,5.150396,5.66985,6.005867
5.309781,5.609117,5.003916,5.150396,5.593561,6.034718
5.263881,5.611193,5.003916,5.150396,5.5107,6.048688
5.2203,5.613164,5.003916,5.150396,5.426569,6.054299
5.169179,5.615476,5.003916,5.150396,5.326716,6.058814
5.118058,5.617788,5.003916,5.150396,5.226863,6.06333
5.026931,5.621909,4.926854,5.175977,5.12701,6.067845
4.977005,5.624167,4.926854,5.175977,5.027157,6.072361
4.877055,5.628687,4.826806,5.180501,4.927304,6.076876
4.777104,5.633207,4.726758,5.185025,4.827451,6.081392
4.677154,5.637727,4.62671,5.189549,4.727598,6.085908
4.577203,5.642247,4.526662,5.194073,4.627745,6.090423
4.527277,5.644505,4.526662,5.194073,4.527892,6.094939
4.477351,5.646763,4.526662,5.194073,4.428039,6.099454
4.427424,5.649021,4.526662,5.194073,4.328186,6.10397
4.377498,5.651279,4.526662,5.194073,4.228334,6.108485
4.327571,5.653537,4.526662,5.194073,4.128481,6.113001
4.275378,5.655897,4.520692,5.194343,4.030398,6.116821
4.218867,5.658453,4.514722,5.194613,3.932765,6.107
4.154459,5.661365,4.508752,5.194883,3.83841,6.077495
4.080189,5.664724,4.502782,5.195153,3.753057,6.028222
4.018392,5.640744,4.490107,5.195726,3.679564,5.960395
4.019921,5.548906,4.476284,5.170893,3.62282,5.87783
4.021091,5.478622,4.476482,5.158986,3.585641,5.78426
4.022128,5.416295,4.47668,5.14708,3.570143,5.68399
4.022972,5.365612,4.47668,5.14708,3.569273,5.58414
4.023804,5.315641,4.47668,5.14708,3.570936,5.484199
4.024636,5.26567,4.47668,5.14708,3.572599,5.384258
4.025467,5.215699,4.47668,5.14708,3.574262,5.284317
4.026299,5.165728,4.47668,5.14708,3.575925,5.184376
4.027965,5.065689,4.478346,5.046944,3.577588,5.084435
4.02963,4.96565,4.480012,4.946807,3.579251,4.984493
4.031295,4.865612,4.481678,4.846671,3.580914,4.884552
4.03296,4.765573,4.483344,4.746535,3.582577,4.784611
4.034626,4.665534,4.48501,4.646398,3.58424,4.68467
4.036252,4.567811,4.486677,4.546262,3.581472,4.589569
4.03709,4.517502,4.488343,4.446125,3.581472,4.589569
4.037927,4.467193,4.490009,4.345989,3.581472,4.589569
4.038765,4.416883,4.491675,4.245853,3.581472,4.589569
4.039602,4.366574,4.493341,4.145716,3.581472,4.589569
4.04044,4.316262,4.489846,4.048649,3.581472,4.589569
4.04137,4.26037,4.470762,3.953008,3.581472,4.589569
4.042451,4.195443,4.431001,3.863243,3.581472,4.589569
4.043726,4.118873,4.372491,3.784104,3.581472,4.589569
3.988235,4.094286,4.296753,3.718626,3.581472,4.589569
3.913899,4.102108,4.207725,3.671249,3.581472,4.589569
3.849988,4.108833,4.109255,3.644653,3.581472,4.589569
3.793896,4.114735,4.005888,3.640866,3.581472,4.589569
3.743843,4.120002,3.906216,3.650428,3.581472,4.589569
3.694055,4.125241,3.80664,3.660906,3.581472,4.589569
3.644256,4.130481,3.70704,3.671387,3.581472,4.589569
3.594456,4.135721,3.607439,3.681868,3.581472,4.589569
3.544656,4.140961,3.507839,3.692349,3.581472,4.589569
3.494856,4.146201,3.408239,3.70283,3.581472,4.589569
3.395352,4.156671,3.308638,3.713311,3.482066,4.60003
3.295849,4.167142,3.209038,3.723792,3.38266,4.610491
3.196346,4.177612,3.109438,3.734273,3.283254,4.620952
3.096842,4.188082,3.009837,3.744754,3.183848,4.631413
2.997339,4.198552,2.910237,3.755235,3.084442,4.641875
2.947539,4.203793,2.810637,3.765716,3.084442,4.641875
2.897738,4.209033,2.711037,3.776197,3.084442,4.641875
2.847918,4.214275,2.61145,3.786779,3.084442,4.641875
2.799968,4.219321,2.522993,3.807905,3.084442,4.641875
2.747451,4.224847,2.43986,3.844201,3.084442,4.641875
2.688658,4.231033,2.366061,3.896165,3.084442,4.641875
2.657537,4.269218,2.304629,3.961156,3.084442,4.641875
2.65343,4.325124,2.258227,4.03469,3.084442,4.641875
2.649801,4.374526,2.226987,4.114452,3.084442,4.641875
2.646625,4.417767,2.212344,4.195469,3.084442,4.641875
2.643575,4.459286,2.205685,4.27793,3.084442,4.641875
2.639895,4.509396,2.198348,4.377811,3.084442,4.641875
2.636214,4.559505,2.191012,4.477692,3.084442,4.641875
2.632533,4.609615,2.183675,4.577573,3.084442,4.641875
2.625298,4.70812,2.176338,4.677454,3.074256,4.738786
2.617968,4.807904,2.169002,4.777336,3.066934,4.838472
2.610639,4.907688,2.161665,4.877217,3.059611,4.938158
2.603309,5.007471,2.154329,4.977098,3.052289,5.037845
2.59598,5.107255,2.146992,5.076979,3.044967,5.137531
2.592319,5.157098,2.146992,5.076979,3.037645,5.237218
2.588658,5.206942,2.146992,5.076979,3.030323,5.336904
2.584996,5.256785,2.146992,5.076979,3.023001,5.436591
2.581335,5.306628,2.146992,5.076979,3.015679,5.536277
2.578155,5.34993,2.146992,5.076979,3.005802,5.620656
2.574797,5.395637,2.146992,5.076979,2.988097,5.70349
2.571149,5.4453,2.146992,5.076979,2.954538,5.778218
2.566948,5.502492,2.146992,5.076979,2.906338,5.846372
2.54911,5.557879,2.146992,5.076979,2.842242,5.908441
2.484831,5.557151,2.146992,5.076979,2.766257,5.957142
2.427555,5.556503,2.146992,5.076979,2.681159,5.989948
2.375871,5.555918,2.146992,5.076979,2.590443,6.004918
2.323651,5.555326,2.146992,5.076979,2.490547,6.007239
2.272303,5.554745,2.146992,5.076979,2.390689,6.00611
2.220908,5.554163,2.146992,5.076979,2.290741,6.004979
